count,year,for_id
299,1993,1005
285,1994,1005
2410,2014,1005
461,1995,1005
480,1998,1005
248,1992,1005
2565,2016,1005
131,1984,1005
992,2015,913
689,2007,913
380,2001,913
879,2017,913
1087,2018,913
319,1998,913
788,2011,913
901,2013,913
688,2008,913
266,1995,913
664,2005,913
1007,2006,913
831,2016,913
313,1993,913
379,2000,913
290,1992,913
338,1994,913
994,2010,913
500,2002,913
950,2009,913
661,2004,913
256,1991,913
239,1996,913
855,2012,913
750,2014,913
312,1999,913
621,2003,913
140,1990,913
291,1997,913
90,1989,913
1063,2017,902
1072,2008,902
1229,2006,902
1171,2011,902
991,2015,902
872,2013,902
843,2014,902
1093,2007,902
913,2018,902
157,2004,902
1002,2012,902
1112,2010,902
435,2002,902
391,1994,902
1054,2009,902
932,2016,902
578,2001,902
353,2019,902
220,1992,1006
3,2020,803
33,1965,802
26,1964,802
27,1961,802
10,1960,802
14,1963,802
17,1962,802
436,1986,1006
339,1984,1006
14,2009,909
15,2019,909
22,2007,909
25,2006,909
16,2008,909
12,2017,909
16,2018,909
13,2014,909
27,2005,909
19,2011,909
19,2004,909
17,2013,909
13,2015,909
18,2012,909
143,1988,1006
60,1987,1006
133,1990,1006
45,1985,1006
128,1991,1006
27,1983,1006
149,1989,1006
33,1976,1006
46,1981,1006
47,1982,1006
18,2008,910
66,2011,910
96,2009,910
65,2010,910
365,2004,1203
226,2013,1203
367,2008,1203
77,1998,1203
276,2012,1203
208,2003,1203
158,2017,1203
280,2007,1203
290,2005,1203
202,2011,1203
233,2014,1203
335,2006,1203
218,2009,1203
159,2001,1203
148,2016,1203
149,2015,1203
217,2010,1203
122,2018,1203
115,2019,1203
23,1980,1006
2,2020,806
61,1971,806
55,1973,806
94,2017,910
59,2018,910
1393,2010,999
1,2020,805
143,1986,1005
114,1983,1005
106,1982,1005
121,1989,1005
140,1990,1005
136,1988,1005
137,1985,1005
76,1981,1005
39,2013,910
25,1967,806
29,1968,806
31,1969,806
50,1972,806
37,1970,806
18,1964,806
20,1965,806
17,1966,806
